HdV 1-Gelasniospora,HdV 2-reticulaspora,HdV 3b-Pleospora,HdV 4,HdV 8b-Microthyrium,HdV 10,HdV 16c-Byssothecium circinans,HdV 18,HdV 28-Copepoda,HdV 44-Kretzchmaria,HdV 65,HdV 82,HdV 90,HdV 112-Cercophora,HdV 113-Sporomiella,HdV 123,HdV 207-Glomus,HdV 261-Arnium,HdV 365,HdV 368-Podospora,HdV 494
7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,24,7,1,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2,0,0,0,0,45,8,0,0,0,0,7,2,1,0,0,0,0,0
0,0,0,0,0,0,0,67,0,0,0,2,0,10,0,0,0,0,0,26,0
0,0,0,0,0,0,0,68,0,0,0,1,0,3,0,1,0,0,0,0,0
0,0,0,0,0,0,0,31,8,0,0,0,0,7,0,2,0,0,0,0,0
0,0,0,0,0,0,0,12,12,0,0,0,0,29,0,13,0,0,0,0,0
0,0,0,4,0,0,0,14,9,0,0,0,0,20,0,6,0,1,0,0,0
3,0,0,12,0,0,0,21,3,0,0,1,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,65,1,0,0,0,0,131,5,7,0,1,0,0,0
0,0,0,1,0,0,0,20,0,0,12,5,0,95,3,9,0,1,0,1,0
2,0,0,3,0,0,0,24,1,0,0,0,0,51,0,10,0,0,0,0,0
6,4,0,0,0,0,0,27,12,0,0,0,0,32,0,11,0,0,0,3,0
0,2,0,6,2,0,0,63,3,0,0,0,1,0,0,4,0,0,0,0,0
3,1,0,1,1,0,1,11,3,0,0,4,0,60,0,9,0,0,0,3,0
3,0,0,4,1,0,0,43,1,0,1,2,1,0,0,5,2,0,0,0,0
0,0,0,0,0,0,0,28,4,0,0,1,0,5,0,0,0,0,0,0,0
1,0,0,0,1,0,0,27,4,0,0,2,0,3,0,1,0,0,0,0,0
0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,0,0,0,0
1,0,0,0,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,21,3,0,0,3,0,0,0,1,0,0,0,0,0
0,0,0,2,0,0,0,17,5,0,0,2,0,0,0,2,0,0,0,0,0
4,0,0,3,0,4,0,13,5,0,0,3,0,0,0,2,0,0,0,0,0
18,0,0,4,0,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,3
4,0,0,7,0,0,0,10,5,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,4,0,0,7,0,1,0,0,0,0,0,11,0,0,0,0,0
3,0,0,1,2,0,0,39,5,0,0,1,1,6,0,18,0,0,0,1,0
12,1,0,0,0,0,0,46,4,0,0,3,0,6,0,5,1,0,0,5,0
