Betula ,Pinus,Ulmus,Quercus,Tilia,Alnus,Fraxinus,Corylus,Calluna,Erica,Hedera,Ilex,Lonicera,Salix,Hordeum (40-41 microns),Hordeum (38-39 microns),Poaceae (34-37 microns),Poaceae (31-33 microns),Poaceae (28-30 microns),Poaceae (<27 microns),Cyperaceae,Melampyrum,Galium,Artemisia,Cerastium,Scleranthus,Silene,Rumex acetosella,Chenopodiaceae,Plantago lanceolata,Plantago media,Filipendula,Potentilla,Ranunculus-type,Mentha-type,Typha angustifolia,Typha latifolia,Nuphar,Filicales,Polypodium,Pteridium,Sphagnum,Microcharcoal <26 microns,Microcharcoal 26-50 microns,Microcharcoal 51-75 microns,Microcharcoal 76-125 microns,Microcharcoal >125 microns,HdV 1-Gelasniospora,HdV 2-reticulaspora,HdV 3b-Pleospora,HdV 4,HdV 8b-Microthyrium,HdV 10,HdV 16c-Byssothecium circinans,HdV 18,HdV 28-Copepoda,HdV 44-Kretzchmaria,HdV 65,HdV 82,HdV 90,HdV 112-Cercophora,HdV 113-Sporomiella,HdV 123,HdV 207-Glomus,HdV 261-Arnium,HdV 365,HdV 368-Podospora,HdV 494
28,6,1,64,0,80,0,105,257,0,0,0,0,0,0,0,0,0,8,134,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,10,3,880,364,70,28,14,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
24,12,17,57,3,146,0,155,0,0,0,0,0,0,0,0,0,0,5,115,14,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,12,605,165,22,11,0,7,0,0,0,0,0,0,24,7,1,0,0,0,0,0,0,0,0,0,0,0
30,18,27,124,8,166,3,193,4,0,0,0,0,0,0,0,0,0,0,69,20,4,0,2,0,0,0,0,0,0,0,1,6,0,0,0,0,1,1,17,1,140,420,84,35,7,0,6,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0
34,13,20,108,8,145,1,203,3,1,0,0,0,0,0,1,4,1,4,135,19,6,0,0,0,0,0,0,0,1,0,5,4,1,0,0,1,0,1,0,10,97,525,225,70,21,14,4,0,2,0,0,0,0,45,8,0,0,0,0,7,2,1,0,0,0,0,0
32,8,29,73,7,115,0,190,2,2,0,0,0,1,0,0,0,0,1,128,16,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,2,0,0,8,0,23,8,6,6,4,0,0,0,0,0,0,0,0,67,0,0,0,2,0,10,0,0,0,0,0,26,0
40,16,40,111,8,222,1,266,14,0,1,0,0,1,0,0,0,0,11,133,21,0,0,0,0,0,0,0,0,0,0,6,3,7,0,1,0,0,1,13,0,19,12,8,6,2,2,0,0,0,0,0,0,0,68,0,0,0,1,0,3,0,1,0,0,0,0,0
32,14,33,97,8,230,0,237,18,0,0,0,0,2,0,0,3,0,26,103,17,3,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,2,8,0,8,15,8,1,0,0,0,0,0,0,0,0,0,31,8,0,0,0,0,7,0,2,0,0,0,0,0
29,16,20,51,4,107,3,181,11,0,2,0,0,4,0,0,5,0,3,142,31,12,0,0,0,3,0,0,0,0,0,1,0,4,0,2,1,0,3,5,0,18,3,10,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,29,0,13,0,0,0,0,0
33,16,31,113,7,97,3,198,3,1,1,0,0,5,0,0,6,0,6,110,47,9,0,0,1,0,0,0,0,0,0,0,4,2,0,2,0,0,0,10,0,57,0,3,1,0,0,0,0,0,4,0,0,0,14,9,0,0,0,0,20,0,6,0,1,0,0,0
32,13,33,141,5,120,2,152,106,0,0,0,0,5,1,0,2,2,9,56,65,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,10,0,96,777,140,70,35,14,3,0,0,12,0,0,0,21,3,0,0,1,0,3,0,0,0,0,0,0,0
37,12,11,107,18,80,2,124,6,0,0,0,1,4,0,0,15,7,22,246,3,26,1,0,0,1,0,2,0,0,0,1,0,10,0,0,0,0,0,8,0,6,13,17,4,5,3,0,0,0,0,0,0,0,65,1,0,0,0,0,131,5,7,0,1,0,0,0
20,10,4,103,2,22,2,64,14,0,0,0,0,1,0,4,16,6,6,269,5,42,1,0,0,0,0,0,2,0,0,6,3,29,0,0,0,0,8,2,0,2,10,5,6,3,0,0,0,0,1,0,0,0,20,0,0,12,5,0,95,3,9,0,1,0,1,0
26,11,11,103,8,46,2,116,18,0,0,0,0,6,0,2,11,3,8,212,0,27,0,0,1,0,0,0,0,0,0,5,4,3,0,0,0,0,6,4,0,16,23,15,9,2,0,2,0,0,3,0,0,0,24,1,0,0,0,0,51,0,10,0,0,0,0,0
32,11,16,86,13,66,2,134,18,0,0,0,0,10,0,1,5,7,10,148,21,17,0,2,0,0,0,0,0,0,0,0,5,10,0,0,0,0,2,3,0,23,35,25,12,3,2,6,4,0,0,0,0,0,27,12,0,0,0,0,32,0,11,0,0,0,3,0
53,16,18,127,3,150,4,218,23,0,0,0,0,2,0,0,0,0,3,102,19,8,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,11,0,43,23,12,3,1,0,0,2,0,6,2,0,0,63,3,0,0,0,1,0,0,4,0,0,0,0,0
12,10,10,95,5,57,4,103,12,1,0,0,0,6,1,1,16,5,19,299,21,13,0,0,0,0,0,0,0,0,0,4,0,13,2,1,0,0,7,1,1,69,1428,378,98,84,70,3,1,0,1,1,0,1,11,3,0,0,4,0,60,0,9,0,0,0,3,0
43,9,23,65,4,132,0,148,39,0,0,0,1,0,0,4,17,0,8,141,15,8,0,0,0,0,0,0,3,0,0,0,4,10,0,0,0,0,1,13,0,10,30,5,2,2,0,3,0,0,4,1,0,0,43,1,0,1,2,1,0,0,5,2,0,0,0,0
76,9,26,92,18,183,0,192,23,0,0,0,2,0,0,0,0,0,2,45,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,9,0,42,4,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,1,0,5,0,0,0,0,0,0,0
86,15,43,125,14,253,1,243,33,0,0,0,1,1,0,0,0,0,2,51,15,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,12,0,42,5,0,1,0,0,1,0,0,0,1,0,0,27,4,0,0,2,0,3,0,1,0,0,0,0,0
68,15,47,117,11,260,2,200,34,0,0,0,0,2,0,0,0,0,1,35,15,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,3,14,0,18,1,2,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,0,0,0,0
62,14,49,120,8,300,1,190,27,0,1,0,0,1,0,0,0,0,3,50,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,14,0,26,11,4,1,0,0,1,0,0,0,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,0,0
53,12,37,100,6,275,2,126,17,0,2,0,0,0,0,0,0,0,4,41,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,12,0,27,6,2,1,2,0,2,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0
65,15,37,107,14,282,2,202,19,5,0,0,2,0,0,0,1,2,7,46,17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19,0,29,1,1,2,1,0,1,0,0,1,0,0,0,21,3,0,0,3,0,0,0,1,0,0,0,0,0
67,12,14,85,14,209,2,144,18,0,0,0,3,0,0,0,0,0,0,42,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,1,5,1,2,0,0,0,0,2,0,0,0,17,5,0,0,2,0,0,0,2,0,0,0,0,0
64,17,21,108,11,188,0,173,56,0,0,0,2,1,0,0,0,0,3,66,40,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,12,0,1,70,20,13,4,1,4,0,0,3,0,4,0,13,5,0,0,3,0,0,0,2,0,0,0,0,0
54,21,24,121,8,148,1,174,86,0,0,0,1,2,0,0,1,2,5,93,48,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,6,8,0,76,157,30,20,11,6,18,0,0,4,0,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,3
46,17,29,113,9,140,3,203,51,1,0,0,0,2,0,0,0,0,6,92,90,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,18,0,135,2,3,2,0,0,4,0,0,7,0,0,0,10,5,0,0,0,0,0,0,3,0,0,0,0,0
26,15,24,65,10,152,2,173,15,1,0,0,5,3,0,0,0,0,7,74,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,22,0,3,23,11,15,2,0,0,0,0,0,4,0,0,7,0,1,0,0,0,0,0,11,0,0,0,0,0
26,26,25,69,21,144,1,149,26,1,0,1,9,0,0,0,0,0,3,58,0,1,0,0,5,0,4,0,0,0,0,5,4,3,0,1,0,0,0,6,0,2,498,102,60,30,12,3,0,0,1,2,0,0,39,5,0,0,1,1,6,0,18,0,0,0,1,0
19,30,10,45,29,120,0,221,28,0,0,0,9,0,0,0,0,0,0,18,2,0,0,0,6,0,7,0,0,0,0,15,6,5,0,4,0,0,3,51,0,0,2250,126,66,66,12,12,1,0,0,0,0,0,46,4,0,0,3,0,6,0,5,1,0,0,5,0
