Pinus,Pinus haploxylon,Abies,Quercus,Carya,Ulmus,Celtis,Myrica,Rosaceae,Ericaceae,Fraxinus,Alnus,Salix,Nymphaea,Typha latifolia,Typha domingensis,Cyperaceae,Poaceae,Asteraceae,Senecio,Solidago,Cirsium,Ambrosia,Artemisia,Cichoriodeae,Apiaceae,Malva,Vicia,Fabaceae,Ephedra,Chenopodiaceae,Opuntia,Acacia,Indeterminate
28,2,0,14,0,3,0,0,0,0,0,1,0,1,0,2,4,39,70,0,0,0,12,1,5,0,2,1,0,2,25,0,0,1
68,3,0,18,0,0,0,1,0,0,3,0,0,7,1,25,15,68,56,0,1,1,3,3,1,1,0,1,1,34,13,0,1,0
53,6,0,16,0,0,3,0,2,0,0,1,0,0,0,7,11,50,18,0,0,2,4,0,0,0,0,0,0,3,50,0,0,0
21,1,0,18,0,2,0,1,0,1,0,0,1,0,0,0,11,42,42,0,3,0,0,0,7,0,0,0,0,5,48,0,0,0
12,3,2,4,0,1,0,1,0,0,0,0,1,1,0,19,1,10,27,0,0,0,4,3,3,0,0,0,0,0,146,0,0,0
108,7,0,14,0,0,0,0,0,0,0,0,1,0,0,23,4,14,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0
67,1,0,24,0,0,0,0,0,1,0,0,1,1,0,32,32,29,2,0,0,0,0,0,0,0,0,0,0,14,12,0,0,2
177,6,0,29,0,1,0,0,0,0,0,0,2,0,0,141,43,52,66,1,1,0,0,4,0,0,0,2,1,15,31,0,0,0
27,7,0,11,2,0,1,0,0,0,0,0,0,0,0,1,0,52,7,0,0,0,0,1,0,0,0,0,0,6,81,0,0,4
37,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,7,43,61,0,0,1,7,13,0,0,0,0,0,1,40,0,0,0
14,1,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,14,40,0,0,0,0,2,0,0,0,0,0,5,109,1,0,0
